AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Vijay Patil,34,2,A1
2,1,Hari Prasad,22,1,A2
3,1,Vikram Raj,,1,A3
4,2,Suresh Poojari,20,2,A4
5,3,Prakash Rai,34,1,A5
6,4,Manoj Kumar,36,2,A6
7,4,Ravi Teja,32,1,A7
8,4,Satish Shetty,54,1,A8
9,5,Santosh R,42,1,A9
10,6,Satish Shetty,47,1,A10
11,6,Lokesh R,35,2,A11
12,6,Rashid Khan,22,1,A12
13,7,Satish Shetty,22,3,A13
14,7,Monica S,47,1,A14
15,8,Manoj R,48,2,A15
16,8,Manoj R,47,2,A16
17,8,Manoj R,29,1,A17
18,9,Suresh Poojari,45,2,A18
19,9,Sneha Reddy,23,1,A19
20,10,Anil Kumble,19,1,A20
21,10,Prakash Rai,19,2,A21
22,10,Manoj Kumar,46,2,A22
23,11,Rahul Dev,,2,A23
24,12,Prakash Rai,44,1,A24
25,13,Rohit Verma,24,1,A25
26,13,John Doe,,1,A26
27,13,Prakash Rai,29,1,A27
28,14,Kiran Y,32,1,A28
29,15,John Doe,25,2,A29
30,15,Pradeep N,41,1,A30
31,16,Ravi Teja,54,1,A31
32,17,Manoj R,21,2,A32
33,17,Manoj R,,1,A33
34,17,Manoj R,38,2,A34
35,18,Kiran Y,24,1,A35
36,19,Hari Prasad,49,2,A36
37,20,Kiran Y,41,1,A37
38,21,Monica S,38,2,A38
39,21,Prakash Rai,,1,A39
40,22,Vikram Raj,42,2,A40
41,23,Santosh R,27,1,A41
42,23,Kiran Y,28,2,A42
43,24,Hari Prasad,19,2,A43
44,25,Satish Shetty,,2,A44
45,26,Vijay Patil,47,1,A45
46,27,Manoj R,21,1,A46
47,28,Vikram Raj,22,2,A47
48,29,Arjun Singh,21,1,A48
49,29,Rashid Khan,51,2,A49
50,30,Anil Kumble,38,2,A50
51,31,Prakash Rai,21,2,A51
52,32,Kiran Y,26,2,A52
53,33,Sharan B,,1,A53
54,33,Anil Kumble,47,2,A54
55,33,Sharan B,34,2,A55
56,34,Arun Kumar,32,1,A56
57,35,Ravi Kumar,52,2,A57
58,36,Vikram Raj,36,2,A58
59,36,Sharan B,41,2,A59
60,36,Lokesh R,31,1,A60
61,37,Deepak M,,2,A61
62,38,Ravi Teja,24,1,A62
63,39,Naveen Gowda,52,2,A63
64,40,Vijay Patil,31,2,A64
65,41,Sharan B,29,1,A65
66,42,Vikram Raj,51,1,A66
67,43,Anil Kumble,,1,A67
68,44,Santosh R,27,2,A68
69,45,Sharan B,30,2,A69
