EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
101,101,1001,5,1,KAR123456,Rajesh Kumar,1980-05-15,1,1,0,2005-06-01
102,101,1001,6,2,KAR123457,Suresh Patel,1985-08-22,1,2,0,2010-09-15
103,101,1001,6,4,KAR123458,Anita Sharma,1990-03-10,2,3,0,2015-01-20
104,101,1002,5,1,KAR123459,Venkatesh Rao,1982-11-30,1,1,0,2007-04-10
105,101,1002,6,2,KAR123460,Kavitha N,1988-07-14,2,2,0,2012-08-01
106,101,1003,5,1,KAR123461,Mohan Das,1981-02-28,1,1,0,2006-03-15
107,101,1003,6,2,KAR123462,Priya K,1992-09-05,2,3,0,2016-11-20
108,101,1004,5,1,KAR123463,Srinivas Murthy,1979-12-01,1,1,0,2003-05-10
109,101,1004,6,4,KAR123464,Naveen G,1991-04-18,1,2,0,2014-07-25
110,101,1005,5,1,KAR123465,Lakshmi Devi,1983-06-22,2,1,0,2008-09-30
111,101,1005,6,2,KAR123466,Ramesh Babu,1987-10-11,1,2,0,2011-12-05
112,101,1006,6,4,KAR123467,Sunita Rao,1993-01-30,2,3,0,2017-04-15
113,101,1007,5,1,KAR123468,Karthik S,1984-07-08,1,1,0,2009-06-20
114,101,1008,5,1,KAR123469,Prakash Hegde,1985-09-12,1,1,0,2010-02-14
115,101,1003,7,4,KAR123470,Manjunath R,1995-11-25,1,2,0,2018-08-01
